year, Biotech Rsrch., Business Software Dev., Computer Game Companies, Computer facilities mgmt., Data Companies, Fund management activities, Info Tech Consulting, Info Tech services, Natural Sciences Rsrch., Open-ended Investors, Satellite Telecommuncations, Social Sciences Rsrch., Software Dev., Technical testing and analysis, Venture Capital, Web portals, Wireless Telecommuncations
1991,0,1,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0
1992,0,3,0,2,1,1,6,3,0,0,0,1,4,0,1,0,0
1993,0,5,0,2,2,2,10,6,1,0,0,1,4,0,1,0,0
1994,0,8,0,2,2,4,12,9,1,0,0,1,5,0,3,0,3
1995,0,10,0,2,2,6,18,15,1,0,0,1,5,0,5,1,7
1996,1,11,0,2,3,6,24,22,3,0,0,1,5,0,6,2,11
1997,1,17,0,3,4,7,39,31,3,0,0,1,7,0,6,2,15
1998,1,22,0,3,5,12,54,45,3,1,1,1,7,0,9,3,19
1999,1,33,0,3,8,18,67,62,5,1,1,1,7,1,10,4,22
2000,2,40,0,3,9,22,79,90,7,1,2,1,9,1,14,4,26
2001,2,48,0,3,13,24,89,108,8,1,2,1,12,2,16,4,34
2002,3,60,0,3,18,29,108,122,9,2,3,1,16,2,16,4,43
2003,5,72,0,3,20,30,128,133,11,2,3,1,19,2,16,4,49
2004,6,86,0,3,23,36,152,153,13,3,3,1,22,2,18,6,57
2005,7,98,0,5,29,42,171,181,13,6,3,1,23,2,19,8,61
2006,7,109,0,7,32,48,204,214,16,9,3,2,28,2,21,11,70
2007,7,127,2,12,37,52,243,241,18,9,3,3,33,3,22,11,79
2008,7,146,2,12,43,58,286,280,21,9,3,5,39,4,22,14,86
2009,8,172,3,13,47,60,328,322,26,10,3,6,42,6,25,17,92
2010,8,202,3,15,51,66,397,359,35,11,4,6,46,8,27,26,100
2011,12,260,5,16,56,78,476,405,39,14,4,8,49,9,31,37,110
2012,14,336,7,20,67,87,568,475,47,16,4,9,52,11,34,53,127
2013,18,419,9,24,77,100,712,551,50,19,5,10,56,11,47,66,142
2014,21,523,12,29,93,118,872,663,53,20,5,15,66,12,54,83,159
2015,29,656,16,31,117,137,1061,773,58,29,6,15,77,13,67,115,175
2016,38,828,24,32,143,153,1307,896,69,37,7,17,92,20,74,150,203
2017,49,1041,36,39,176,177,1598,1029,80,58,7,22,133,23,96,185,223
2018,64,1363,57,45,216,216,2017,1234,93,78,11,26,188,29,124,234,266
2019,85,1886,90,64,300,290,2665,1546,105,106,14,34,311,52,181,335,334
2020,110,2456,135,82,396,381,3251,1903,117,159,18,46,489,71,230,470,415
