IncorporationDate,year,month,CompanyName,CompanyNumber,CompanyStatus,sector_code_1,sector_name_1,Industry,count
1991-01-18,1991,1,"ISI-DENTSU OF EUROPE, LTD.",02575108,Active,62020, Info Tech Consulting,informatin Tech,1
1991-01-22,1991,1,MACXPERTS LIMITED,02575705,Active,62020, Info Tech Consulting,informatin Tech,1
1991-03-25,1991,3,PREMIER TRAINING LIMITED,02594960,Active,62020, Info Tech Consulting,informatin Tech,1
1991-03-27,1991,3,INFIELD SYSTEMS LIMITED,02596007,Active,63110, Data Companies,informatin Tech,1
1991-07-29,1991,7,A C F FINANCIAL TECHNOLOGY LIMITED,02633253,Active,58290, Software Dev.,informatin Tech,1
1991-08-19,1991,8,CAPITA LAND LIMITED,02638911,Active,58290, Software Dev.,informatin Tech,1
1991-08-30,1991,8,ESTATE COMPUTER SYSTEMS (HOLDINGS) LIMITED,02641815,Active,62012, Business Software Dev.,informatin Tech,1
1991-10-22,1991,10,"EPIQ EUROPE, LTD.",02656370,Active,58290, Software Dev.,informatin Tech,1
1992-02-06,1992,2,UBIQUITY SOFTWARE CORPORATION LIMITED,02719723,Active,62020, Info Tech Consulting,informatin Tech,1
1992-02-17,1992,2,DELTA COMMUNICATION LIMITED,02687975,Active,62090, Info Tech services,informatin Tech,1
1992-03-13,1992,3,CML SOFTWARE LIMITED,02696908,Active,62090, Info Tech services,informatin Tech,1
1992-04-03,1992,4,SCM MICROSYSTEMS LIMITED,02693479,Active,62030, Computer facilities mgmt.,informatin Tech,1
1992-04-06,1992,4,LEAPFROG TECHNOLOGY  LIMITED,02720571,Active,72200, Social Sciences Rsrch.,Sci & Tech Rsrch.,1
1992-06-17,1992,6,CITY & MERCHANT LIMITED,02723832,Active,64303, Venture Capital,Finance,1
1992-06-19,1992,6,INTERPUBLIC GIS (UK) LIMITED,02724363,Active,62030, Computer facilities mgmt.,informatin Tech,1
1992-06-24,1992,6,BUZZACOTT COMPUTER SERVICES LIMITED,02725875,Active,62020, Info Tech Consulting,informatin Tech,1
1992-07-10,1992,7,US COMPUTERS (UK) LIMITED,02753815,Active,62020, Info Tech Consulting,informatin Tech,1
1992-09-25,1992,9,POWERHOUSE MARKETING LIMITED,02750788,Active,62090, Info Tech services,informatin Tech,1
1992-09-28,1992,9,EXACT SOFTWARE (UK) LIMITED,02752425,Active,62012, Business Software Dev.,informatin Tech,1
1992-11-30,1992,11,TRAYPORT LIMITED,02769279,Active,58290, Software Dev.,informatin Tech,1
1992-12-17,1992,12,EIM NOMINEES LIMITED,02774481,Active,66300, Fund management activities,Finance,1
1992-12-21,1992,12,NEWGROVE LIMITED,02775618,Active,62012, Business Software Dev.,informatin Tech,1
1993-01-20,1993,1,IMSCAN SYSTEMS LIMITED,02781508,Active,62090, Info Tech services,informatin Tech,1
1993-04-20,1993,4,RCP TRADE SOLUTIONS LIMITED,02810660,Active,62012, Business Software Dev.,informatin Tech,1
